,Nome,CGC,Endereco
0,"JF CACHOEIRO DE ITAPEMIRIM, ES",3030-9,"avenida francisco lacerda de aguiar num 410 - paraiso 2930448 - cachoeiro de itapemirim, es ag. numero: 3030-9"
1,"CIDADE DE JAGUARE, ES",3656-0,"avenida nove de agosto num 2006 - centro 299500 - jaguare, es ag. numero: 3656-0"
2,"AGRO LINHARES, ES",4518-7,"avenida nogueira da gama num 1197 - centro 2990040 - linhares, es ag. numero: 4518-7"
3,"PREFEITURA MUN MUNIZ FREIRE, ES",3609-9,"rua capitao joao alves num 5 - centro 293800 - muniz freire, es ag. numero: 3609-9"
4,"CENTRAL LARANJEIRAS, ES",4607-8,"avenida central num 1427 - parque residencial laranjeiras 29165130 - serra, es ag. numero: 4607-8"
5,"HOSPITAL METROPOLITANO, ES",4190-4,"rodovia norte sul num 3721 - civit ii 2916878 - serra, es ag. numero: 4190-4"
6,"PLATAFORMA EMPRESAS SERRA, ES",7053-0,"rua antonio caron num 139 - planalto de carapina 29162708 - serra, es ag. numero: 7053-0"
7,"IBES, ES",2099-0,"avenida carlos lindenberg num 1053 - gloria 29122355 - vila velha, es ag. numero: 2099-0"
8,AG EMPRESARIAL ESPIRITO SANTO,4256-0,"rua clovis machado num 122 - enseada do sua 29050590 - vitoria, es ag. numero: 4256-0"
9,"DIGITAL CAPIXABA, ES",2631-0,"rua clovis machado num 122 - enseada do sua 29050590 - vitoria, es ag. numero: 2631-0"
10,"DIGITAL CONVENTO DA PENHA, ES",2610-7,"rua clovis machado num 122 - enseada do sua 29050590 - vitoria, es ag. numero: 2610-7"
11,"HOSPITAL UNIVERSITARIO, ES",2310-8,"avenida marechal campos num 1355 - santa cecilia 29043260 - vitoria, es ag. numero: 2310-8"
12,"JUSTICA DO TRABALHO VITORIA, ES",3993-4,"avenida nossa senhora dos navegantes num 1245 - enseada do sua 29050335 - vitoria, es ag. numero: 3993-4"
13,"JUSTICA FEDERAL VITORIA, ES",0829-0,"avenida marechal mascarenhas de moraes num 1877 - monte belo 29053245 - vitoria, es ag. numero: 0829-0"
14,"PLAT DIG ESPIRITO SANTO, ES",3760-5,"rua clovis machado num 122 - enseada do sua 29050590 - vitoria, es ag. numero: 3760-5"
15,"PLATAFORMA EMPRESAS VITORIA, ES",6052-6,"avenida nossa senhora dos navegantes num 955 - enseada do sua 29050335 - vitoria, es ag. numero: 6052-6"
16,"SINGULAR VITORIA, ES",7371-7,"rua joao da cruz num 195 - praia do canto 29055620 - vitoria, es ag. numero: 7371-7"
17,"VALE, ES",1963-1,"avenida jose maria vivacqua santos num 250 - jardim camburi 29090160 - vitoria, es ag. numero: 1963-1"
18,"VILA RUBIM, ES",0880-0,"avenida princesa isabel num 86 - centro 29010360 - vitoria, es ag. numero: 0880-0"
19,"VITORIA PRAIA, ES",3779-6,"avenida dante michelini num 729 - jardim da penha 29060235 - vitoria, es ag. numero: 3779-6"
